label,name,名称
1222-0053-0_必选配梳,1030027-000,配梳2#-HC-530
1222-0053-0_必选油瓶,5080008-000,油瓶-国润
1222-0053-0_必选清洁刷,5090006-000,清洁刷-HC-630
1222-0053-0_必选电推剪,B05060-002copy,电推剪裸机
1222-0053-0_必选配梳,X1030027-000,配梳2#-HC-530
1222-0053-0_必选油瓶,X5080008-000,油瓶-国润
1222-0053-0_必选清洁刷,X5090006-000,清洁刷-HC-630
1222-0053-0_必选电推剪,XB05060-002copy,电推剪裸机
主结构,1222-0053-0,1222-0053-0
1222-0053-0_必选电机压板,1051009-000,电机压板-HC-581
1222-0053-0_必选开关滑制,1051010-000,开关滑制-HC-581
1222-0053-0_必选装饰片,1051011-000,装饰片-HC-581
1222-0053-0_必选开关推扭,1051114-000,开关推扭-HC-581
1222-0053-0_必选电池盖,1051115-000,电池盖-HC-581
1222-0053-0_必选弹簧,2020404-000,负极弹片压簧-HC-581
1222-0053-0_必选螺丝,2050068-000,螺丝-铁
1222-0053-0_必选螺丝,2050075-000,螺丝-铁
1222-0053-0_必选螺丝,2050093-000,螺丝-铁
1222-0053-0_必选行程接触片,2070112-000,行程接触片-HC-577
1222-0053-0_必选负极弹片,2070172-000,负极弹片-HC-581
1222-0053-0_必选正极片,2070227-000,正极片-HC-530
1222-0053-0_必选偏心轮,2080132-000,偏心轮-HC-530
1222-0053-0_必选电子线,3015272-000,电子线-QIFURUI
1222-0053-0_必选电子线,3015273-000,电子线-QIFURUI
1222-0053-0_必选电子线,3015283-000,电子线-QIFURUI
1222-0053-0_必选电机,3030119-000,DC电机-HC-530
1222-0053-0_必选电机,303011X-000,电机
1222-0053-0_必选电子板,3070611-000,PCB组件-HC-581
1222-0053-0_必选挡发海绵,5040003-000,挡发海绵-HC-530
1222-0053-0_必选DC电机贴,5040054-000,DC电机贴-HC-595
1222-0053-0_必选刀头组件,S05060000-00,刀头组件-HC-581
1222-0053-0_必选电机压板,X1051009-000,电机压板-HC-581
1222-0053-0_必选开关滑制,X1051010-000,开关滑制-HC-581
1222-0053-0_必选装饰片,X1051011-000,装饰片-HC-581
1222-0053-0_必选开关推扭,X1051114-000,开关推扭-HC-581
1222-0053-0_必选电池盖,X1051115-000,电池盖-HC-581
1222-0053-0_必选弹簧,X2020404-000,负极弹片压簧-HC-581
1222-0053-0_必选螺丝,X2050068-000,螺丝-铁
1222-0053-0_必选螺丝,X2050075-000,螺丝-铁
1222-0053-0_必选螺丝,X2050093-000,螺丝-铁
1222-0053-0_必选行程接触片,X2070112-000,行程接触片-HC-577
1222-0053-0_必选负极弹片,X2070172-000,负极弹片-HC-581
1222-0053-0_必选正极片,X2070227-000,正极片-HC-530
1222-0053-0_必选偏心轮,X2080132-000,偏心轮-HC-530
1222-0053-0_必选电子线,X3015272-000,电子线-QIFURUI
1222-0053-0_必选电子线,X3015273-000,电子线-QIFURUI
1222-0053-0_必选电子线,X3015283-000,电子线-QIFURUI
1222-0053-0_必选电子板,X3070611-000,PCB组件-HC-581
1222-0053-0_必选挡发海绵,X5040003-000,挡发海绵-HC-530
1222-0053-0_必选DC电机贴,X5040054-000,DC电机贴-HC-595
1222-0053-0_必选刀头组件,XS05060000-00,刀头组件-HC-581
1222-0053-0_可选塑料壳,1051112-000,上壳-HC-581
1222-0053-0_可选塑料壳,1051113-000,下壳-HC-581
1222-0053-0_可选上壳,X1051112-000,上壳-HC-581
1222-0053-0_可选下壳,X1051113-000,下壳-HC-581
1222-0053-0_必选POM,1040045-000,POM-南通宝泰菱
1222-0053-0_必选母粒,1040096-000,母粒-特黑
1222-0053-0_必选POM,X1040045-000,POM-南通宝泰菱
1222-0053-0_必选母粒,X1040096-000,母粒-特黑
1222-0053-0_基本ABS,X1040006-000,ABS-韩国锦湖
1222-0053-0_基本母粒,X1044620-000,母粒-420C浅灰
1222-0053-0_基本ABS,X1040006-000,ABS-韩国锦湖
1222-0053-0_基本母粒,X1044620-000,母粒-420C浅灰
1222-0053-0_必选刀座,1010317-000,刀座-HC-530
1222-0053-0_必选刀垫,1051407-000,刀垫-HC-581
1222-0053-0_必选弹簧,2020021-000,动刀扭簧-HC-530
1222-0053-0_必选螺丝,2050093-000,螺丝-铁
1222-0053-0_必选定刀片,5020005-000,定刀片-HC-530
1222-0053-0_必选动刀片,5020006-000,动刀片-HC-530
1222-0053-0_必选刀座,X1010317-000,刀座-HC-530
1222-0053-0_必选刀垫,X1051407-000,刀垫-HC-581
1222-0053-0_必选弹簧,X2020021-000,动刀扭簧-HC-530
1222-0053-0_必选螺丝,X2050093-000,螺丝-铁
1222-0053-0_必选定刀片,X5020005-000,定刀片-HC-530
1222-0053-0_必选动刀片,X5020006-000,动刀片-HC-530
1222-0053-0_必选装饰片,1051117-000,装饰片-HC-581
1222-0053-0_必选油墨,6030013-000,油墨-8503
1222-0053-0_必选装饰片,X1051117-000,装饰片-HC-581
1222-0053-0_必选油墨,X6030013-000,油墨-8503
1222-0053-0_基本定子,DC-3030119-001,定子
1222-0053-0_基本转子,DC-3030119-025,转子
1222-0053-0_基本旋转变压器,DC-3030119-035,旋转变压器
1222-0053-0_基本轴承,DC-3030119-036,轴承
1222-0053-0_基本油封,DC-3030119-037,油封
1222-0053-0_基本前后端盖,DC-3030119-038,前后端盖
1222-0053-0_基本接线盒,DC-3030119-039,接线盒
1222-0053-0_必选POM,1040045-000,POM-南通宝泰菱
1222-0053-0_必选POM,X1040045-000,POM-南通宝泰菱
1222-0053-0_必选电池盖,1051118-000,电池盖-HC-581
1222-0053-0_必选油墨,6030013-000,油墨-8503
1222-0053-0_必选电池盖,X1051118-000,电池盖-HC-581
1222-0053-0_必选油墨,X6030013-000,油墨-8503
1222-0053-0_基本ABS,1040006-000,ABS-韩国锦湖
1222-0053-0_基本母粒,1044620-000,母粒-420C浅灰
1222-0053-0_必选ABS,1040006-000,ABS-韩国锦湖
1222-0053-0_必选母粒,1044621-000,母粒-299C蓝
1222-0053-0_必选ABS,X1040006-000,ABS-韩国锦湖
1222-0053-0_必选母粒,X1044621-000,母粒-299C蓝
1222-0053-0_必选POM,1040045-000,POM-南通宝泰菱
1222-0053-0_必选POM,X1040045-000,POM-南通宝泰菱
1222-0053-0_必选POM,1040045-000,POM-南通宝泰菱
1222-0053-0_必选POM,X1040045-000,POM-南通宝泰菱
1222-0053-0_必选POM,1040045-000,POM-南通宝泰菱
1222-0053-0_必选母粒,1040096-000,母粒-特黑
1222-0053-0_必选POM,X1040045-000,POM-南通宝泰菱
1222-0053-0_必选母粒,X1040096-000,母粒-特黑
1222-0053-0_必选ABS,1040006-000,ABS-韩国锦湖
1222-0053-0_必选母粒,1040096-000,母粒-特黑
1222-0053-0_必选ABS,X1040006-000,ABS-韩国锦湖
1222-0053-0_必选母粒,X1040096-000,母粒-特黑
1222-0053-0_基本转子铁心,DC-3030119-026,转子铁心
1222-0053-0_基本磁钢,DC-3030119-029,磁钢
1222-0053-0_基本转子支架,DC-3030119-030,转子支架
1222-0053-0_基本轴,DC-3030119-031,轴
1222-0053-0_基本键,DC-3030119-032,键
1222-0053-0_基本平衡端板,DC-3030119-033,平衡端板
1222-0053-0_基本环氧胶,DC-3030119-034,环氧胶
1222-0053-0_基本有绕组定子铁心,DC-3030119-002,有绕组定子铁心
1222-0053-0_基本接线盒盖,DC-3030119-040,接线盒盖
1222-0053-0_基本接线盒座,DC-3030119-041,接线盒座
1222-0053-0_基本防水接头,DC-3030119-042,防水接头
1222-0053-0_基本接线板,DC-3030119-043,接线板
1222-0053-0_基本转子冲片,DC-3030119-027,转子冲片
1222-0053-0_基本硅钢片,DC-3030119-028,硅钢片
1222-0053-0_基本定子铁心,DC-3030119-003,定子铁心
1222-0053-0_基本绕组,DC-3030119-006,绕组
1222-0053-0_基本槽绝缘,DC-3030119-008,槽绝缘
1222-0053-0_基本层间绝缘,DC-3030119-009,层间绝缘
1222-0053-0_基本相间绝缘,DC-3030119-010,相间绝缘
1222-0053-0_基本盖槽纸,DC-3030119-011,盖槽纸
1222-0053-0_基本绝缘套管,DC-3030119-012,绝缘套管
1222-0053-0_基本绝缘端板,DC-3030119-013,绝缘端板
1222-0053-0_基本槽楔,DC-3030119-014,槽楔
1222-0053-0_基本绝缘漆,DC-3030119-015,浸漆用绝缘漆及稀释剂
1222-0053-0_基本热缩套管,DC-3030119-016,热缩套管
1222-0053-0_基本热敏元件,DC-3030119-017,热敏元件
1222-0053-0_基本银铜焊条紫铜管,DC-3030119-018,银铜焊条紫铜管
1222-0053-0_基本内套,DC-3030119-021,内套
1222-0053-0_基本外套,DC-3030119-022,外套
1222-0053-0_基本聚酯漆包圆铜线,DC-3030119-007,聚酯漆包圆铜线
1222-0053-0_基本接线端子,DC-3030119-023,接线端子
1222-0053-0_基本定子轴向固定块,DC-3030119-024,定子轴向固定块
1222-0053-0_基本机座,DC-3030119-019,机座
1222-0053-0_基本进出水口,DC-3030119-020,进出水口
1222-0053-0_基本定子冲片,DC-3030119-004,定子冲片
1222-0053-0_基本硅钢片,DC-3030119-005,硅钢片
1222-0053-0_基本接线板体,DC-3030119-044,接线板体
1222-0053-0_基本接线螺栓,DC-3030119-045,接线螺栓
1222-0053-0_基本接线链接片,DC-3030119-046,接线链接片
1222-0053-0_基本弱电接线连接器,DC-3030119-047,弱电接线连接器
1222-0053-0_必选ABS,1040006-000,ABS-韩国锦湖
1222-0053-0_必选母粒,1044620-000,母粒-420C浅灰
1222-0053-0_必选ABS,X1040006-000,ABS-韩国锦湖
1222-0053-0_必选母粒,X1044620-000,母粒-420C浅灰
